AAPL,,,,,,,,,AAPL,,,,,,S&P,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return,,Average Total,0.054%,,,,,Date ,Open,High,Low,Close,Adj Close,Volume ,Return
19-Nov-25,"1,029.64","1,055.59","1,026.25","1,049.60","1,049.60","35,71,200",1.90%,,Covariance,1.69E-04,,,,,,,,,,,,
20-Nov-25,"1,045.50","1,057.00","1,038.25","1,043.29","1,043.29","31,35,700",-0.60%,,Variance,1.85E-04,,,,,,,,,,,,
21-Nov-25,"1,041.00","1,066.65","1,038.00","1,059.70","1,059.70","42,66,700",1.57%,,Beta,0.962,,,,,,,,,,,,
,,,,,,,,,Jensen Alpha,1.020%,,,,,,,,,,,,
,,,,,,,,,Treynor ratio,0.973%,,,,,,,,,,,,
,,,,,,,,,Sharpe ratio ,0.689,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LMT,,,,,,,,,LMT,,,,,,,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return ,,Total,-0.384%,,,,,,,,,,,,
04-Nov-25,484.46,488.5,481,484.98,484.98,"11,69,300", ,,Standard Deviation ,0.014,,,,,,,,,,,,
05-Nov-25,483.02,485.85,473.14,473.14,473.14,"17,08,000",-2.44%,,Covariance,-4.80E-05,,,,,,,,,,,,
06-Nov-25,473.11,474.18,466.11,468.92,468.92,"10,93,600",-0.89%,,Variance,1.95E-04,,,,,,,,,,,,
07-Nov-25,468.9,469.41,456.2,458.35,458.35,"25,14,500",-2.25%,,Beta,-0.516,,,,,,,,,,,,
10-Nov-25,456,457.1,448.48,452.1,452.1,"16,30,100",-1.36%,,Jensen Alpha,-0.512%,,,,,,,,,,,,
11-Nov-25,451.77,461.77,451,457.07,457.07,"13,22,100",1.10%,,Treynor ratio,0.782%,,,,,,,,,,,,
12-Nov-25,456.14,459.77,455.22,457.04,457.04,"9,35,400",-0.01%,,Sharpe ratio ,-0.290,,,,,,,,,,,,
13-Nov-25,458.01,460.91,455.1,455.85,455.85,"8,19,600",-0.26%,,,,,,,,,,,,,,,
14-Nov-25,455.85,466.39,454,465.77,465.77,"11,77,300",2.18%,,,,,,,,,,,,,,,
17-Nov-25,467.28,471.6,464.72,470.78,470.78,"18,22,400",1.08%,,,,,,,,,,,,,,,
18-Nov-25,475.22,485,471.2,474.72,474.72,"12,42,100",0.84%,,,,,,,,,,,,,,,
19-Nov-25,472,472.42,468.3,469.91,469.91,"8,61,300",-1.01%,,,,,,,,,,,,,,,
20-Nov-25,473.88,477.43,465.02,468.26,468.26,"10,44,900",-0.35%,,,,,,,,,,,,,,,
21-Nov-25,468.6,469.4,459.96,460.78,460.78,"15,75,300",-1.60%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MSFT,,,,,,,,,MSFT,,,,,,,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return ,,Total,-1.021%,,,,,,,,,,,,
13-Nov-25,510.31,513.5,501.29,503.29,502.35,"2,52,73,100",,,Standard Deviation ,0.014,,,,,,,,,,,,
14-Nov-25,498.23,511.6,497.44,510.18,509.23,"2,85,05,700",1.370%,,Covariance,2.60E-05,,,,,,,,,,,,
17-Nov-25,508.45,512.12,504.91,507.49,506.54,"1,90,92,800",-0.528%,,Variance,1.86E-04,,,,,,,,,,,,
18-Nov-25,495.37,502.98,486.78,493.79,492.87,"3,38,15,100",-2.699%,,Beta,0.296,,,,,,,,,,,,
19-Nov-25,490.1,495.19,482.83,487.12,486.21,"2,32,45,300",-1.35%,,Jensen Alpha,-0.937%,,,,,,,,,,,,
20-Nov-25,492.71,493.57,475.5,478.43,478.43,"2,68,02,500",-1.60%,,Treynor ratio,-3.523%,,,,,,,,,,,,
21-Nov-25,478.5,478.92,468.27,472.12,472.12,"3,17,69,200",-1.32%,,Sharpe ratio ,-0.763,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
VOO,,,,,,,,,VOO,,,,,,,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return ,,Total,-0.053%,,,,,,,,,,,,
18-Nov-25,608.72,611.51,603,607,607,"85,42,600", ,,Standard Deviation ,0.013,,,,,,,,,,,,
19-Nov-25,607.52,613.57,605.67,609.2,609.2,"74,49,400",0.36%,,Covariance,1.73E-04,,,,,,,,,,,,
20-Nov-25,618.72,621.13,599.36,599.96,599.96,"1,39,85,000",-1.52%,,Variance,1.71E-04,,,,,,,,,,,,
21-Nov-25,602.25,611.01,598.38,605.93,605.93,"98,21,400",1.00%,,Beta,0.985,,,,,,,,,,,,
,,,,,,,,,Jensen Alpha,0.012%,,,,,,,,,,,,
,,,,,,,,,Treynor ratio,-0.074%,,,,,,,,,,,,
,,,,,,,,,Sharpe ratio ,-0.056,,,,,,,,,,,,
